hub_cpu,hub_ram,hub_disk,hub_net_in,it_bandwidth,it_backbone_latency,it_server_resp_time,iot_sensor_temp,iot_ingestion_delay,iot_pdr,fin_trans_vol,fin_db_query_duration,fin_api_handshake,hour,minute
23.972177695592755,59.25870819066841,45.25360286099358,202.85945786758597,76.60383137808017,18.87021521056439,41.730202339748814,40.308752935952626,94.95510433876612,98.05708089911762,55.19359012032037,2.080459400005939,37.86882500500815,11,5
44.013067775864826,40.542777276558716,51.6495176646785,477.07003932743487,61.223354466516206,10.837829537166826,24.619255349159644,38.12740639594686,172.4346066105408,98.01513965237302,45.73333650872705,6.63404858548896,44.058061171814884,11,6
47.35138275680362,30.1301601449218,51.95663039632679,156.11689962433144,81.68562311794358,7.340859226133526,28.869928203360047,41.40214777097494,93.856840763106,98.12925707510128,96.36745246747626,8.06214443641025,41.795970904945904,11,7
45.37361804174941,62.728098485369806,45.85002772517987,371.1576749783982,71.38928565936153,14.935954888655395,48.07032143387032,44.647072673410065,131.02826774493303,98.86334132472567,80.25391265913711,7.700291962254786,58.35291847290415,11,8
48.79475603357619,52.036959910868276,49.086111305928135,468.42895251176947,70.17849486497693,7.900911913167484,45.1547657542737,40.31364721175383,83.66092441861208,99.3103735168267,73.58658253955608,4.191262134599887,68.19146962057025,11,9
36.82281167847856,60.87084544501023,49.55959893389665,351.58933318587947,82.17010115886573,16.38733530107632,31.506446594589264,46.67779309083613,98.00450944705379,98.96404302416498,97.27901019133932,7.97283673303598,48.21840652683935,11,10
36.47097066266354,42.32832956688967,56.42072694693424,204.42505565163134,72.416144487712,9.719963296019552,48.363370620723884,32.6798805551709,122.19035114101409,99.38827574454133,81.37219080815875,5.922779097276795,49.809595876770516,11,11
52.2084762498578,67.17912632674637,53.62936905355529,406.28508788569644,64.44919033109952,16.538148910080714,24.84252925828223,30.335288425514847,197.67168162266395,98.48046701856595,78.62278635953116,7.612093388811445,65.760706653943,11,12
24.877102472869264,62.957866547452824,55.603069379113904,401.38583560922757,71.4789811350372,19.58683864026716,20.247892556797805,36.39000261069541,54.854445262540146,98.90059790236124,79.44327998662659,4.924238564243307,75.86196241744294,11,13
31.990658954111893,61.61523645026503,41.095493053937794,240.1970421382291,74.67626912970712,7.078611733935878,46.447192976131404,30.786257241954583,94.6632577059593,99.58251977148564,87.22705430530365,6.774867476971451,55.912676912159085,11,14
48.03235942118468,41.79247385639651,52.40592148003182,304.0235953802003,84.63400080938916,8.345212105801673,43.19247504624828,31.75359131147292,142.62286695761958,98.38311488843826,92.67896825960504,6.534330398862836,77.36856148041804,11,15
34.250770667759454,30.083616749315464,56.26262484261284,106.31293814050085,86.61168907493438,18.89824647389206,40.854910193011314,49.78338141950894,146.7366604686071,98.66229744902463,39.271817791516604,3.9203144242687333,75.78696379155087,11,16
59.04648768406658,67.9913763618668,52.91850601743444,290.2304894984396,60.98437116937981,6.414419575828966,25.95537853220829,41.69442622976303,131.30354690280484,98.70342112868201,87.29249037741847,5.3483554966824,36.9546135928536,11,17
52.18813745654613,46.909288748145215,59.19786958052925,169.55191393907202,80.77430316720407,14.436389472155525,36.9256174541277,43.93785162944329,107.82380006354741,98.04307607045232,24.632176268355288,9.392193757014963,30.222695285051234,11,18
25.879272705175826,63.11057821308999,45.81685602554876,388.1541135305119,62.68408648044306,11.520474512351763,47.68257221158571,48.92343362809122,86.21480005820285,99.43159776251782,81.33137745687077,8.024423033513354,35.92374130477966,11,19
28.343770638910964,67.82659978639825,43.221410046456384,452.6885499210271,86.02546105169282,5.844474362820186,42.00958552589552,33.0010818939514,147.36429671863561,98.57926323500627,27.672058411710047,4.77488175756592,62.346713525600016,11,20
34.71855987385882,30.71298447135252,57.5312173890088,324.9137555240259,87.02274727138875,10.890315875731087,27.80552850643661,38.77181192280375,180.15376275719422,98.19495413335216,24.824279263603586,5.635420366449389,49.62199743095432,11,21
56.589110134492,61.54667167874199,51.23899888882964,315.2645323168382,63.2490931357526,5.724987333744519,33.46229648795512,32.840145324164496,134.5651237651101,99.22704850386528,79.78565537270286,7.585218909790872,68.55371220798104,11,22
41.69353668987807,58.207619288816026,55.79757714140628,390.4010181480036,81.57483836242793,7.628370093694466,22.80631297680787,31.26708840858637,198.25489329737002,99.46775921340944,72.92559464617568,2.724902255563136,65.194111022301,11,23
59.15208205792392,67.62277082697996,53.153101916288,359.82392484130133,77.86704165309912,10.274554504097559,40.68434609697205,39.611187792274215,69.32299887919989,98.84849377427396,50.67037858583959,8.325954275048536,78.0266070659201,11,24
